;0;1;2;3;4;5
484;Action Hotels plc;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=JE00BFZD1492&m=1098893&c=5643943;AHCG;18/11/2016;Special;Jersey
485;Action Hotels PLC;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=JE00BFZD1492&m=1147039&c=5643943;AHCG;13/06/2017;Annual;Jersey
486;Action Hotels PLC;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=JE00BFZD1492&m=1252642&c=5643915;AHCG;19/07/2018;Annual;Jersey
487;Action Hotels Plc;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=JE00BFZD1492&m=1264350&c=5643915;AHCG;24/09/2018;Court;Jersey
488;Action Hotels Plc;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=JE00BFZD1492&m=1264349&c=5643915;AHCG;24/09/2018;Special;Jersey
489;Action SA;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=X0015Q109&m=831052&c=5489518;ACT;22/10/2013;Special;Poland
490;Action SA;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=X0015Q109&m=853234&c=5489518;ACT;16/04/2014;Special;Poland
491;Action SA;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=X0015Q109&m=882400&c=5489518;ACT;22/05/2014;Annual;Poland
492;Action SA;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=PLACTIN00018&m=978015&c=5662593;ACT;10/06/2015;Annual;Poland
493;Action SA;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=PLACTIN00018&m=1011694&c=5662593;ACT;25/11/2015;Special;Poland
494;Action SA;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=PLACTIN00018&m=1067713&c=5662593;ACT;23/06/2016;Annual;Poland
495;ACTIVE Biotech AB;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=W0250B198&m=876297&c=355082;ACTI;15/05/2014;Annual;Sweden
496;ACTIVE Biotech AB;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=SE0001137985&m=928168&c=5643915;ACTI;01/12/2014;Special;Sweden
497;Active Biotech AB;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=SE0001137985&m=977094&c=5643915;ACTI;11/06/2015;Annual;Sweden
498;Active Biotech AB;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=SE0001137985&m=1028551&c=5643915;ACTI;26/05/2016;Annual;Sweden
499;Activision Blizzard, Inc.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=00507V109&m=880485&c=355115;ATVI;05/06/2014;Annual;USA
